left_right_vel;for_back_vel;up_down_vel;yaw_vel;target_x;target_side_len;target_y
0.0;0.4;0.0;0.0;0.565625;0.134375;0.4875
0.0;-0.175;0.0;0.0;0.509375;0.29270833333333335;0.5069444444444444
0.0;0.0;0.0;0.0;0.5520833333333334;0.25;0.5097222222222222
-0.6;0.0;0.175;-0.4;0.659375;0.25416666666666665;0.2791666666666667
0.2;0.4;0.575;0.175;0.32708333333333334;0.14270833333333333;0.2361111111111111
0.0;-0.25;0.625;0.0;0.5427083333333333;0.25;0.25
-0.175;-0.2;-0.175;-0.175;0.6760416666666667;0.25;0.5361111111111111
0.0;0.225;0.75;0.0;0.47708333333333336;0.19166666666666668;0.15138888888888888
0.25;0.625;0.475;0.175;0.25416666666666665;0.14479166666666668;0.2833333333333333
-0.4;0.175;-0.225;-0.25;0.9125;0.17291666666666666;0.6194444444444445
0.0;0.0;-0.4;0.0;0.4635416666666667;0.23645833333333333;0.6833333333333333
0.0;0.0;0.0;0.0;0.5177083333333333;0.25833333333333336;0.5222222222222223
0.0;0.175;-0.3;0.0;0.47604166666666664;0.20416666666666666;0.6597222222222222
-0.3;0.4;-0.425;-0.2;0.7989583333333333;0.14375;0.6875
-0.325;0.175;-0.175;-0.2;0.8458333333333333;0.196875;0.6041666666666666
-0.325;-0.175;-0.325;-0.2;0.83125;0.2760416666666667;0.6277777777777778
0.0;0.0;1.0;0.0;0.490625;0.25;0.06805555555555555
-0.375;-0.175;0.175;-0.25;0.85;0.2864583333333333;0.46805555555555556
-0.175;-0.375;0.3;-0.175;0.6739583333333333;0.35;0.36944444444444446
0.0;-1.0;0.175;0.0;0.4822916666666667;0.525;0.4513888888888889
0.175;0.0;0.0;0.0;0.40729166666666666;0.240625;0.49722222222222223
0.0;0.0;0.35;0.0;0.45416666666666666;0.240625;0.35833333333333334
-0.35;-0.175;-0.225;-0.225;0.8583333333333333;0.28229166666666666;0.6
0.0;0.0;0.0;0.0;0.48541666666666666;0.2677083333333333;0.5013888888888889
-0.175;0.375;-0.375;-0.175;0.5791666666666667;0.153125;0.6833333333333333
-0.3;0.0;0.7;-0.2;0.8083333333333333;0.23125;0.15416666666666667
0.0;0.0;0.725;0.0;0.4239583333333333;0.2864583333333333;0.19027777777777777
0.0;0.45;0.25;0.0;0.5072916666666667;0.13229166666666667;0.37916666666666665
-0.35;-0.175;0.0;-0.225;0.846875;0.30416666666666664;0.4486111111111111
0.2;0.375;-0.9;0.175;0.32708333333333334;0.14479166666666668;0.9013888888888889
0.0;0.0;0.0;0.0;0.5291666666666667;0.2604166666666667;0.5208333333333334
0.0;0.0;0.25;0.0;0.48541666666666666;0.2604166666666667;0.37916666666666665
0.2;0.175;-0.8;0.175;0.29375;0.19895833333333332;0.8652777777777778
-0.225;-0.175;0.675;-0.175;0.7;0.32916666666666666;0.21944444444444444
-0.225;0.175;-0.525;-0.175;0.7208333333333333;0.21145833333333333;0.7486111111111111
0.0;0.55;0.2;0.0;0.5375;0.09895833333333333;0.4041666666666667
0.0;-0.85;0.35;0.0;0.4510416666666667;0.46875;0.33611111111111114
0.0;0.575;-0.5;0.0;0.48333333333333334;0.08958333333333333;0.7222222222222222
0.55;-0.275;0.2;0.375;0.0;0.25;0.3680555555555556
0.175;-0.775;0.4;0.175;0.41041666666666665;0.440625;0.3013888888888889
0.3;-0.65;-0.35;0.2;0.22395833333333334;0.44375;0.6611111111111111
